,job title,company,region,location,additional info,skills required,is remote?,is fresher?
210,Data analyst,JPMorgan Chase & Co,Mumbai,"Mumbai, Maharashtra","Build familiarity with the underlying data sources and applicable regulations, JPMorgan Chase policies and standards, and Data & Analytics processes that…
Posted
Posted 25 days ago·More...",,No,NA
211,Data analyst,Standard Chartered,Chennai,"Chennai, Tamil Nadu","Presto SQL view development to support data delivery and data visualization.
Work on data requirements and identification of golden sources for data attributes.
Posted
Posted 30+ days ago·More...","Data Visualization,  Sql ",No,NA
212,Data analyst,Helius Technologies,India,India,"Deep understanding of data modeling techniques.
Working with large amounts of transactional data to identify trends and patterns in order to detect any…
Posted
Posted 30+ days ago·More...",,No,NA
213,Data analyst,NovoTree Minds Consulting,Bengaluru,"Bengaluru, Karnataka","Successful candidates will be analytical with business acumen, and detail driven with excellent problem solving skillsThe ideal candidate will have a strong…
Posted
Posted 30+ days ago·More...",Excel,No,NA
214,Data analyst,BlackRock,Hybrid remote in Gurgaon,"Hybrid remote in Gurgaon, Gurugram, Haryana","Understand flow of client, market and fund information across BlackRock and external data providers.
Facilitate bespoke and standard report creation through…
Posted
Posted 5 days ago·More...",,Yes,NA
215,Data analyst,Infoblox,Bengaluru,"Bengaluru, Karnataka","Conduct in-depth data analysis to identify patterns, trends, and correlations in HR data.
Gain a keen understanding of data quality and integrity, ensuring that…
Posted
Posted 18 days ago·More...",,No,NA
216,Data analyst,Megara Infotech,Gurgaon,"Gurgaon, Haryana","Maintaining data in Excel (includes Formula (Sum, count, if), Pivot Table,H-Look Up, V-Look Up.
Typing in the English language without spelling mistakes.
Posted
Posted 30+ days ago·More...",Excel,No,NA
217,Data analyst,Smart Ship,Pune,"Pune, Maharashtra","Building and iterating reports (with eventual design collaboration) based around a large volume of data, from multiple teams - providing data results…
Posted
Posted 30+ days ago·More...",,No,NA
218,Data analyst,BBS,Gurgaon,"Gurgaon, Haryana","Experience in data analysis, including data cleaning/preparation, reporting, modeling.
Daily data analysis in online financial business, including data cleaning…
Posted
Posted 30+ days ago·More...",,No,No
219,Data analyst,Directi,Mumbai,"Mumbai, Maharashtra","Collaborate with data scientists, data engineers and IT teams to optimize data collection, storage, and retrieval processes.
Relevant experience of 3-5 Years .
Posted
Posted 30+ days ago·More...",,No,No
220,Data analyst,Infosys,Hyderabad,"Hyderabad, Telangana","Bachelor’s degree or foreign equivalent required from an accredited institution.
Will also consider three years of progressive experience in the specialty in…
Posted
Posted 30+ days ago·More...",,No,No
221,Data analyst,GXO Logistics,Mumbai,"Mumbai, Maharashtra","Design and implement data models in Hadoop.
Define business problems, identify solutions, provide analysis and insights from the client’s data.
Posted
Posted 30+ days ago·More...",,No,NA
222,Data analyst,EY,India,India,"This is a role that requires incumbent to own & execute a variety of global processes related to compliance monitoring of engagements across Service Lines on…
Posted
Posted 30+ days ago·More...",,No,NA
223,Data analyst,Creditas Solutions,Gurgaon,"Gurgaon, Haryana"," 1+ years in a data analyst role.
Requirements into custom-formatted data reports.
Data that can be used to improve upon them.
Posted
Posted 30+ days ago·More...",,No,NA
224,Data analyst,XopunTech,Guwahati,"Guwahati, Assam","Manage and coordinate technical support operations.
Troubleshoot hardware and software issues.
Oversee help desk teams and ensure exceptional customer service.
Posted
Posted 1 day ago·More...",,No,NA
225,Data analyst,Pilgrim,Mumbai,"Mumbai, Maharashtra","Should have outstanding research skills and passion to find, track and analyse relevant data and turn it.
We are looking for a Product Analyst - Tech,*.
Employer
Active 12 days ago·More...",,No,NA
226,Data analyst,JPMorgan Chase & Co,Mumbai,"Mumbai, Maharashtra","Manage and work on all phases of the analytics lifecycle, including documenting data lineage, analysis scoping, data development, hypothesis development, data…
Posted
Posted 30+ days ago·More...",,No,NA
227,Data analyst,ABB,Bengaluru,"Bengaluru, Karnataka","In-depth knowledge of data management principles and practices, including data governance and data quality.
Collaborating with internal stakeholders, including…
Posted
Posted 30+ days ago·More...",,No,NA
228,Data analyst,Deloitte,Hyderabad,"Hyderabad, Telangana","Ensure the quality, integrity, and completeness of data related to clients and related parties in various independence systems of the firm.
Posted
Posted 30+ days ago·More...",,No,NA
229,Data analyst,KPMG,Mumbai,"Mumbai, Maharashtra","Btech/BCA grad holding 6 months - 1.5 years of post-qualification experience.
Posted
Posted 30+ days ago·More...",,No,No
230,Data analyst,Injazat,Remote in Chennai,"Remote in Chennai, Tamil Nadu","Plan and perform data recoveries, make configurations changes, health checks and general troubleshooting.
Develop domain knowledge in storage, data management,…
Posted
Today·More...",,Yes,NA
231,Data analyst,KUSHAL'S FASHION JEWELLERY,Bengaluru,"Bengaluru, Karnataka","Strong analytical skills with the ability to interpret data and draw actionable insights.
Experience with data visualization tools (e.g Tableau, Power BI) is a…
Posted
Posted 8 days ago·More...","Data Visualization, Tableau",No,No
232,Data analyst,Havas Group,Mumbai,"Mumbai, Maharashtra","Understands data, data structures and use of databases.
Data quality control (data points, naming conventions, data processing, …) related to data of the…
Posted
Posted 30+ days ago·More...",Data Structure,No,NA
233,Data analyst,MOLTRESS HOSPITALITY PRIVATE LIMITED,Chennai,"Chennai, Tamil Nadu","*Proficiency in analyzing data, using macros, pivot tables and charts, formulas, grouping data, functions, and data validation.
Feel free to call -6369842993.
Employer
Active 14 days ago·More...",,No,NA
234,Data analyst,Accenture,Hyderabad,"Hyderabad, Telangana","Key Responsibilities : 1-Technically strong in Power BI Willing to work in Night Shift 2-Knowledge of developing visual reports, KPI scorecards, and dashboards…
Posted
Today·More...",Dashboard,No,NA
235,Data analyst,Parati,Remote in Haryana,"Remote in Haryana, Haryana","Implement protocols for data cleansing, transformation, and storage while adhering to data protection regulations.
Master's degree is a plus.
Posted
Posted 2 days ago·More...",,Yes,NA
236,Data analyst,BT Group,Bengaluru,"Bengaluru, Karnataka","Define data analysis required for data products and usage patterns across data solutions e.g., ETLs, APIs, SQL etc.
Posting Date: 25 Aug 2023.
Posted
Posted 18 days ago·More..."," Sql , Etl",No,NA
237,Data analyst,Dr.Reddy's,Hyderabad,"Hyderabad, Telangana","Good Experience of data crunching in Excel.
Work with Business/ Functional leaders to deploy data driven solutions for solving HR challenges.
Posted
Posted 30+ days ago·More...",Excel,No,No
238,Data analyst,SAM Global University Bhopal,Bhopal,"Bhopal, Madhya Pradesh","We are looking for a data analyst to join our data team.
Required Experience- min 1 year of experience as data analyst.
Total work: 1 year (Preferred).
Posted
Posted 30+ days ago·More...",,No,No
239,Data analyst,BP Energy,Hybrid remote in Pune,"Hybrid remote in Pune, Maharashtra","ARC analysts is accountable for ensuring that all internal and external accounting- and reporting activities in scope of the operations are prepared in…
Posted
Posted 1 day ago",,Yes,NA
240,Data analyst,Virtusa,Hybrid remote in Bengaluru,"Hybrid remote in Bengaluru, Karnataka","Retail Banking Knowledge Big Data environment experience.
Data Model concept Regulatory Reporting experience like Basel II/III/IV, IFRS9, STDF,Credit Risk…
Posted
Posted 8 days ago·More...",Big Data,Yes,No
241,Data analyst,Nivoda,Mumbai,"Mumbai, Maharashtra","Foster culture of data-driven decision making and support the overarching data strategy.
Identify incomplete and diverse data sets, pinpointing data issues…
Posted
Posted 30+ days ago·More...",,No,NA
242,Data analyst,BNC,Pune,"Pune, Maharashtra","Collaborate with data engineers and architects to design and implement efficient data pipelines in the Databricks platform.
Master's degree is a plus.
Employer
Active 11 days ago·More...",,No,NA
243,Data analyst,Moody's,Bengaluru,"Bengaluru, Karnataka","Identify trends in data and apply reasoning to work being completed.
Create documentation and provide guidance to support analysts and outsourcers.
Posted
Posted 14 days ago·More...",,No,NA
244,Data analyst,Stats Perform,India,India,"Insights Generation: Apply sophisticated data analysis techniques, including machine learning and predictive modelling, to derive valuable insights from…
Posted
Posted 30+ days ago·More...",Machine Learning,No,NA
245,Data analyst,Pluralsight,India,India,"You will play a pivotal role ensuring that we are identifying all the important data aggregation points, and collecting relevant data to make informed business…
Posted
Posted 11 days ago·More...",,No,NA
246,Data analyst,Helius Technologies,India,India,"Solid experience in tracking data with Google Analytics and Firebase.
Knowledge and experience in creating dashboards and reports with data visualization tools…
Posted
Posted 30+ days ago·More...","Data Visualization, Dashboard",No,No
247,Data analyst,Proclink,Ahmedabad,"Ahmedabad, Gujarat","Ability to guide analysts and review the work products, including code.
Advanced programming skills, proficiency with R or Python, experience using other…
Posted
Posted 30+ days ago·More...","Python,  R ",No,No
248,Data analyst,Bristol Myers Squibb,Remote in Hyderabad,"Remote in Hyderabad, Telangana","Any data processed in connection with role applications will be treated in accordance with applicable data privacy policies and regulations.
Posted
Posted 30+ days ago",,Yes,NA
249,Data analyst,JPMorgan Chase & Co,Hyderabad,"Hyderabad, Telangana","Ethical Considerations: As a data analyst in the KYC space, you will handle sensitive customer information.
Process Improvement: As an experienced data analyst,…
Posted
Posted 17 days ago·More...",,No,No
250,Data analyst,Unimrkt Research,Gurgaon,"Gurgaon, Haryana","Acquire data from primary or secondary data sources and maintain databases/data systems.
Develop and implement databases, data collection systems, data…
Posted
Posted 30+ days ago·More...",,No,NA
251,Data analyst,predera,Hyderabad,"Hyderabad, Telangana","Proven working experience as a data analyst.
Acquire data from primary or secondary data sources and maintain databases/data systems.
Posted
Posted 30+ days ago·More...",,No,No
252,Data analyst,YouGov,Hybrid remote in Mumbai,"Hybrid remote in Mumbai, Maharashtra","Extrapolating and estimating data using robust samples, data models and logic.
Experience with data models to complete logical data extrapolation, estimation…
Posted
Posted 1 day ago·More...",,Yes,No
253,Data analyst,Koch Global Services,Bengaluru,"Bengaluru, Karnataka","Ability to create and maintain data driven dashboard.
Provide data analytics result for network traffic and alerts.
Posted
Posted 5 days ago·More...",Dashboard,No,NA
254,Data analyst,Elsevier,Chennai,"Chennai, Tamil Nadu","An affinity with data extraction and modelling using SQL, Python or other programming languages a clear plus.
Analysis skills: statistical knowledge, ability to…
Posted
Posted 30+ days ago·More...","Python, Stat",No,NA
255,Data analyst,Tax Genie,Mumbai,"Mumbai, Maharashtra","The candidate will be performing finance relate analysis and find, pattern, insights and values which we can provide to customers using Python, Power…
Posted
Posted 30+ days ago·More...",Python,No,NA
256,Data analyst,ZeroFOX,Bengaluru,"Bengaluru, Karnataka","Analyze financial data, including revenue, expenses, and budgets, to identify trends, variances, and opportunities for improvement.
Posted
Posted 30+ days ago·More...",,No,NA
257,Data analyst,HP,Bengaluru,"Bengaluru, Karnataka","Creates plans, data collection and analysis procedures and data insight visualizations for assigned projects.
Works on problems of diverse complexity and scope.
Posted
Posted 30+ days ago·More...",,No,NA
258,Data analyst,HaystackAnalytics,Mumbai,"Mumbai, Maharashtra","Check quality and accuracy of the data.
Experience with building bioinformatics pipelines for NGS data.
Help in developing and executing various data management…
Posted
Posted 1 day ago·More...",,No,No
259,Data analyst,iXie Gaming,Bengaluru,"Bengaluru, Karnataka","Use data to deliver fundamental insights on the player and game performance.
ROLE & RESPONSIBILITIES -Analyze and acquire a deep understanding of game features…
Posted
Posted 6 days ago·More...",,No,NA
260,Data analyst,SourceMash Technologies,Mohali,"Mohali, Punjab","Experience in Data Gateway for data refreshing, contents packs, publishing reports to app.powerbi.com.
In-depth knowledge of Transact-SQL (DDL, DML)- creating…
Posted
Posted 30+ days ago·More...",Powerbi,No,No
261,Data analyst,HRD India,Kolkata,"Kolkata, West Bengal","Perform data analysis for generating reports on periodic basis.
Provide support and maintenance to existing management information systems (MIS).
Posted
Posted 3 days ago·More...",,No,NA
262,Data analyst,Buzzworks,India,India,"For this data to reach its full potential and offer insightful information for the business, proper data mining and business intelligence job profile analyst…
Posted
Posted 30+ days ago·More...",Data Mining,No,NA
263,Data analyst,Deloitte,Bengaluru,"Bengaluru, Karnataka","Define the business problem and work with data scientists to effectively translate it into a data science problem.
Ability to travel when necessary.
Posted
Posted 30+ days ago·More...",,No,NA
264,Data analyst,Husk Power Systems,Pune,"Pune, Maharashtra","4+ years of experience handling data and data driven decision making.
Developing and maintaining databases, data systems – reorganizing data in a readable…
Posted
Posted 4 days ago·More...",,No,No
265,Data analyst,PayU,Hybrid remote in Gurgaon,"Hybrid remote in Gurgaon, Haryana","Identify opportunities to improve data and business processes utilizing Python & SQL.
Interpret data, analyze results using analytics, research methodologies,…
Posted
Posted 30+ days ago·More...",Python,Yes,NA
266,Data analyst,WattSun,Ernakulam,"Ernakulam, Kerala","Acquire data from primary or secondary data sources and maintain databases/data systems.
Technical expertise regarding data models, database design development,…
Posted
Posted 30+ days ago·More...",,No,NA
267,Data analyst,Insight Therapy Solutions,Remote in Mumbai,"Remote in Mumbai, Maharashtra","Note: *This role is not just limited to analyzing data.
Interpret data and provide actionable insights to improve conversion rates and overall marketing…
Posted
Today·More...",,Yes,NA
268,Data analyst,Risk Management Solutions (RMS),Noida,"Noida, Uttar Pradesh","Analysts on the team specialize in data interpretation, data analytics, data quality, financial policy structures, and a deep understanding of sophisticated…
Posted
Posted 14 days ago·More...",,No,NA
269,Data analyst,Moody's,Bengaluru,"Bengaluru, Karnataka","The FDA uses finance knowledge and judgment to perform managed funds data validation, adjust reported data per relevant requirements and review and analyse…
Posted
Posted 14 days ago·More...",,No,NA
270,Data analyst,Deloitte,Hyderabad,"Hyderabad, Telangana","Know how of Azure data ELT/ETL services – ADF, data bricks is advantage.
Strong experience in DWH concepts and data modelling.
Super Strong in SQL and PL SQL.
Posted
Posted 30+ days ago·More..."," Sql , Etl",No,No
271,Data analyst,iResearch Services,Hybrid remote in Pune,"Hybrid remote in Pune, Maharashtra","Understanding of Excel functions and formulas for data transformation.
Creativity in approaching complex problems and identifying innovative solutions through…
Posted
Posted 14 days ago·More...",Excel,Yes,NA
272,Data analyst,Airbus,Bengaluru,"Bengaluru, Karnataka","Analyze and assemble complex sets of data.
Coach and develop data analytics awareness with internal customers.
Posted
Posted 30+ days ago·More...",,No,NA
273,Data analyst,twid,Bengaluru,"Bengaluru, Karnataka","2+ years of experience as a data analyst.
Proactively analyze data to answer key questions from stakeholders or.
Solutions using cutting-edge technology.
Posted
Posted 30+ days ago·More...",,No,No
274,Data analyst,Assetmonk,India,India,"Building products as end-to-end data solutions (from extracting data, to analysis, data pipeline set up and scalable deployment).
Posted
Posted 1 day ago·More...",,No,NA
275,Data analyst,Goldman Sachs,Bengaluru,"Bengaluru, Karnataka","Goldman Sachs Internal Audit comprises individuals from diverse backgrounds including chartered accountants, developers, risk management professionals,…
Posted
Posted 27 days ago·More...",,No,NA
276,Data analyst,Cisco Systems,Bengaluru,"Bengaluru, Karnataka","Demonstrated experience in Supply Chain data and business processes.
Partner with architecture and data teams to facilitate global techno-functional…
Posted
Today·More...",,No,No
277,Data analyst,The Modern Dimension,Bengaluru,"Bengaluru, Karnataka","Building advanced workflows using Alteryx.
3 years- experience in an analytics related field.
3 years- experience using a business intelligence (BI) tool,…
Posted
Posted 30+ days ago·More...",,No,No
278,Data analyst,Clarity Bio Systems,Powai,"Powai, Mumbai, Maharashtra","Analyze LC/MS data and prepare reports.
Apply statistical data analysis and machine learning tools.
Write code in R or Python for specific data analysis…
Posted
Posted 30+ days ago·More...","Python, Machine Learning,  R , Stat",No,NA
279,Data analyst,Cognext,Mumbai,"Mumbai, Maharashtra","Manage all sort of technical documentation like ETL specification, data specification, technical design specification and others related to a project.
Posted
Posted 30+ days ago·More...",Etl,No,NA
280,Data analyst,Accenture,India,India,"Conduct data quality checks and resolve any discrepancies or data integrity issues.
Implement data governance practices to maintain data accuracy, integrity and…
Posted
Posted 22 days ago·More...",,No,NA
281,Data analyst,Tata 1mg,Gurgaon,"Gurgaon, Haryana","Use product usage data to understand customer pain points and recommend possible solutions to the product team.
Designing experiments to test out hypotheses.
Posted
Posted 7 days ago·More...",,No,NA
282,Data analyst,BNP Paribas,Mumbai,"Mumbai, Maharashtra","Production Readiness – Work with extract/ data providers, development team, and application production support team to deploy fully automated reconciliation…
Posted
Posted 30+ days ago·More...",,No,NA
283,Data analyst,DAMS Pvt. Ltd. (eMedicoz),Noida,"Noida, Uttar Pradesh","Monitor data quality and ensure data integrity.
Proven experience as a data analyst or similar role.
Familiarity with data warehousing concepts and technologies…
Employer
Active 12 days ago·More...",,No,No
284,Data analyst,Arsh Biotech,India,India,"Essential Qualifications: Bachelors in any of the Life Sciences (Students undertaking Bachelors may also apply).
Posted
Posted 30+ days ago·More...",,No,NA
285,Data analyst,RealPage India,Hyderabad,"Hyderabad, Telangana","Train external data providers on the process of using our application to submit data.
The team onboards and trains operating partners in the process of…
Posted
Posted 30+ days ago·More...",,No,NA
286,Data analyst,JPMorgan Chase & Co,Bengaluru,"Bengaluru, Karnataka","Ensure accurate and complete data submission to the Regulators.
Participate in continuous improvement effort around data quality review and external reporting…
Posted
Posted 24 days ago·More...",,No,NA
287,Data analyst,REXMAN,Remote,Remote,"Monitors specific SEO efforts; gathers and analyzes data and reports results to the team.
Conducts research, data collection, and analysis to assess the…
Posted
Posted 30+ days ago·More...",,Yes,NA
288,Data analyst,VB School,Chennai,"Chennai, Tamil Nadu","Proficiency in Python for data analysis, Good understanding of databases and building SQL queries.
Attention to detail and a strong commitment to data accuracy…
Employer
Active 12 days ago·More...","Python,  Sql ",No,NA
289,Data analyst,Mercedes-Benz Research and Development India...,Bengaluru,"Bengaluru, Karnataka","Data quality monitoring (MF4 data, DL script, abgas test data, oil dilution data) and management • Daimler AG specific data (DL scripts, VRX file & Flea scripts…
Posted
Posted 30+ days ago·More...",,No,NA
290,Data analyst,Gnani Innovations,Bengaluru,"Bengaluru, Karnataka","Performing and documenting data analysis, data validation, and data mapping/design.
3+ years of experience as a business analyst with high level of expertise in…
Posted
Posted 30+ days ago·More...",,No,No
291,Data analyst,"CloudPlinth, Inc.",Warangal,"Warangal, Telangana","Providing technical expertise in data storage structures, data mining, and data cleansing.
Work experience as a data analyst or in a related field.
Posted
Posted 10 days ago·More...",Data Mining,No,No
292,Data analyst,altbalaji,Mumbai,"Mumbai, Maharashtra","Department: AnalyticsQualification: BTech/BSc IT Reports to: VP Technology Skills : SQL + Tableau + R 2 to 5 years of experience in the Analytics industry.
Posted
Posted 30+ days ago·More..."," Sql ,  R , Tableau",No,No
293,Data analyst,Fluid.Live Solutions Pvt Ltd,Remote in Pune,"Remote in Pune, Maharashtra","Provide all-round research support analysts on one or more sectors,.
Organize, analyze, synthesize and/or summarize data and information using appropriate…
Posted
Posted 9 days ago·More...",,Yes,NA
294,Data analyst,Phenom People,Hyderabad,"Hyderabad, Telangana","Strong experience in extracting and reporting data using complex queries.
Proficiency in using statistical methods to derive meaningful conclusions from data.
Posted
Posted 30+ days ago·More...",Stat,No,No
295,Data analyst,BT Group,Bengaluru,"Bengaluru, Karnataka","Understanding of data modeling, data integration, and data architecture concepts is a plus.
Implement data quality processes and standards to ensure data…
Posted
Posted 5 days ago·More...",,No,NA
296,Data analyst,FabHotels,Gurgaon,"Gurgaon, Haryana","Sound understanding of numbers and data.
Help develop insights and user stories out of data.
Experience on Excel and SQL.
Basics of coding on R/ Python.
Posted
Posted 30+ days ago·More...","Python, Excel",No,No
297,Data analyst,Deutsche Bank,Bengaluru,"Bengaluru, Karnataka","Skillset for data analysis – building repeatable/reusable assets; using data for analysis and driving business outcomes; comfortable with data models and…
Posted
Posted 30+ days ago·More...",,No,NA
298,Data analyst,Siemens,Bengaluru,"Bengaluru, Karnataka","Sets product visions and strategies for the data products and solutions by thoroughly understanding internal customer needs.
Posted
Posted 4 days ago·More...",,No,NA
299,Data analyst,JPMorgan Chase & Co,Bengaluru,"Bengaluru, Karnataka","The team encompasses a variety of disciplines from data governance and strategy to reporting, data science and machine learning.
Posted
Posted 30 days ago·More...",Machine Learning,No,NA
300,Data analyst,GXO Logistics,Mumbai,"Mumbai, Maharashtra","Develop a value-added approach to supply chain challenges by employing data analysis, innovation and automation.
Posted
Posted 1 day ago·More...",,No,NA
301,Data analyst,BT,Bengaluru,"Bengaluru, Karnataka","Experience of Data & Analytics models, patterns, techniques and approaches particularly covering information architecture, data management and governance, data…
Posted
Posted 1 day ago·More...",,No,No
302,Data analyst,EY,Gurgaon,"Gurgaon, Haryana
+1 location","Support extraction of data from multiple sources by understanding data structure requirement.
Correlate raw data to audit-related analytics.
Posted
Posted 25 days ago·More...",Data Structure,No,NA
303,Data analyst,Supply Wisdom,Remote,Remote,"Understand, analyses data from annual reports.
Sound analysis and data interpretation ability.
Over time, research analyst will become Senior Research Analyst…
Posted
Posted 11 days ago·More...",,Yes,NA
304,Data analyst,Cargill,Gurgaon,"Gurgaon, Haryana","Minimum of two years of experience with data or data warehousing systems.
Partner with and support other data analysts to validate quality and coverage of…
Posted
Posted 10 days ago·More...",,No,No
305,Data analyst,Aptus Data LAbs,Bengaluru,"Bengaluru, Karnataka","Work with engineering & data platform team to drive data availability & reliability.
Evaluate data required for decisions, identify sources of appropriate data,…
Posted
Posted 30+ days ago·More...",,No,NA
306,Data analyst,XenonStack,Mohali,"Mohali, Punjab","Provide concise data reports with data visualizations.
Create and maintain relational databases and data system.
Complete job and employee security.
Posted
Posted 24 days ago·More...",Data Visualization,No,NA
307,Data analyst,IBM,Pune,"Pune, Maharashtra","To think along with clients and sell.
As a Senior Analyst, you are responsible for handling clients across industries within the quality space.
Posted
Posted 8 days ago·More...",,No,NA
308,Data analyst,SS Supply Chain Solutions,Bengaluru,"Bengaluru, Karnataka","Stakeholder management with data engineering, product owners, central data modelling team, data governance & stewards, Scrum master, project team and sponsor.
Posted
Posted 19 days ago·More...",,No,NA
309,Data analyst,Food Memories,Delhi,"Delhi, Delhi","Acquire data from primary or secondary data sources and maintain databases/data systems and identify, analyze, and interpret trends or patterns.
Posted
Posted 30+ days ago·More...",,No,NA
